"indicador";"Países";"Componente";"Tipo de combustible";"Años";"Información sobre la estructura de precios";"Datos sobre recaudacion";"valor";"notas";"fuente";""
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2001";"n/a";"n/a";"0.123";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2002";"n/a";"n/a";"0.12";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2003";"n/a";"n/a";"0.122";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2004";"n/a";"n/a";"0.123";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2005";"n/a";"n/a";"0.128";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2006";"n/a";"n/a";"0.13";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2007";"n/a";"n/a";"0.132";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2008";"n/a";"n/a";"0.141";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"DIESEL OIL";"2009";"n/a";"n/a";"0.136";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2001";"n/a";"n/a";"0.371";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2002";"n/a";"n/a";"0.348";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2003";"n/a";"n/a";"0.398";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2004";"n/a";"n/a";"0.477";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2005";"n/a";"n/a";"0.633";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2006";"n/a";"n/a";"0.714";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2007";"n/a";"n/a";"0.761";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2008";"n/a";"n/a";"1.003";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"DIESEL OIL";"2009";"n/a";"n/a";"0.651";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO REFINERIA";"DIESEL OIL";"2001";"n/a";"n/a";"0.137";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2001";"n/a";"n/a";"0.007";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2002";"n/a";"n/a";"0.00763636";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2003";"n/a";"n/a";"0.00942505";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2004";"n/a";"n/a";"0.00994594";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2005";"n/a";"n/a";"0.0142506";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2006";"n/a";"n/a";"0.01649138";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2007";"n/a";"n/a";"0.01868303";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2008";"n/a";"n/a";"0.02688941";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"FUEL OIL";"2009";"n/a";"n/a";"0.0179263";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2001";"n/a";"n/a";"0.146";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2002";"n/a";"n/a";"0.15585242";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2003";"n/a";"n/a";"0.19242241";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2004";"n/a";"n/a";"0.203017";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2005";"n/a";"n/a";"0.29084";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2006";"n/a";"n/a";"0.33657952";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2007";"n/a";"n/a";"0.38138537";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2008";"n/a";"n/a";"0.548825";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"FUEL OIL";"2009";"n/a";"n/a";"0.3658866";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO REFINERIA";"FUEL OIL";"2001";"n/a";"n/a";"0.104";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2001";"n/a";"n/a";"0.101";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2002";"n/a";"n/a";"0.102";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2003";"n/a";"n/a";"0.102";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2004";"n/a";"n/a";"0.103";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2005";"n/a";"n/a";"0.104";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2006";"n/a";"n/a";"0.127";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2007";"n/a";"n/a";"0.131";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2008";"n/a";"n/a";"0.134";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"IMPUESTOS";"GASOLINA CORRIENTE";"2009";"n/a";"n/a";"0.127";"[4931]";"[804]"
"Precio de los combustibles (Comparación en dólares)";"Precio internacional";"PRECIO FINAL (CONSUMIDOR)";"GASOLINA CORRIENTE";"2001";"n/a";"n/a";"0.375";"[4931]";"[804]"
