"indicador";"Sexo";"País";"Años";"Trimestre";"Grupo de edad";"Escolaridad (EH)";"Área geográfica";"Quintil";"valor";"notas";"fuente";""
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1980";"n/a";"n/a";"n/a";"n/a";"n/a";"2.6";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1981";"n/a";"n/a";"n/a";"n/a";"n/a";"4.6";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1982";"n/a";"n/a";"n/a";"n/a";"n/a";"5.3";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1983";"n/a";"n/a";"n/a";"n/a";"n/a";"4.6";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1984";"n/a";"n/a";"n/a";"n/a";"n/a";"4.6";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1985";"n/a";"n/a";"n/a";"n/a";"n/a";"6.1";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1986";"n/a";"n/a";"n/a";"n/a";"n/a";"5.6";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1987";"n/a";"n/a";"n/a";"n/a";"n/a";"5.9";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1988";"n/a";"n/a";"n/a";"n/a";"n/a";"6.3";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1989";"n/a";"n/a";"n/a";"n/a";"n/a";"7.7";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1990";"n/a";"n/a";"n/a";"n/a";"n/a";"7.4";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1991";"n/a";"n/a";"n/a";"n/a";"n/a";"6.5";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1992";"n/a";"n/a";"n/a";"n/a";"n/a";"7";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1993";"n/a";"n/a";"n/a";"n/a";"n/a";"9.6";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1994";"n/a";"n/a";"n/a";"n/a";"n/a";"11.5";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1995";"n/a";"n/a";"n/a";"n/a";"n/a";"17.5";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1996";"n/a";"n/a";"n/a";"n/a";"n/a";"17.2";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1997";"n/a";"n/a";"n/a";"n/a";"n/a";"14.9";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1998";"n/a";"n/a";"n/a";"n/a";"n/a";"12.9";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"1999";"n/a";"n/a";"n/a";"n/a";"n/a";"14.3";"[152]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2000";"n/a";"n/a";"n/a";"n/a";"n/a";"15.1";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2001";"n/a";"n/a";"n/a";"n/a";"n/a";"17.4";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2002";"n/a";"n/a";"n/a";"n/a";"n/a";"19.7";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2003";"n/a";"n/a";"n/a";"n/a";"n/a";"17.3";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2004";"n/a";"n/a";"n/a";"n/a";"n/a";"13.6";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2005";"n/a";"n/a";"n/a";"n/a";"n/a";"11.575";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2006";"n/a";"n/a";"n/a";"n/a";"n/a";"10.175";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2007";"n/a";"n/a";"n/a";"n/a";"n/a";"8.475";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2008";"n/a";"n/a";"n/a";"n/a";"n/a";"7.9";"[6813]";"[36]"
"Tasa de desempleo según sexo";"Ambos sexos";"Argentina";"2009";"n/a";"n/a";"n/a";"n/a";"n/a";"8.675";"[6813]";"[36]"
